,yearday,lat,lon,pressure,CT,SA,oxygen,sigma0,log_buoyancy,spice,o2sat,ydcos,ydsin,nitrate,wmoid,profid,dist_maxb
7036,114.81748845014222,-55.872,29.94,997.01996,1.6527381958065044,34.91267442086001,196.85402,27.797670825323166,-13.610394982478054,-0.0550664666602712,334.1537527960863,-0.3946580005692429,0.9188280919664393,30.705214,5906031.0,5906031000,-847.5599599999999
7037,134.92321762005926,-55.083,32.428,19.66,1.468762726725411,34.16974392966115,327.204,27.21841140544757,-15.695160656297013,-0.5905229411215186,337.6568066022743,-0.6829545334549144,0.7304608854917423,28.722418,5906031.0,5906031002,141.59
7038,134.92321762005926,-55.083,32.428,44.37,1.4714119356751296,34.169801651489216,326.95312,27.21827012622134,-16.55130925907617,-0.5902721862460053,337.63413769944214,-0.6829545334549144,0.7304608854917423,28.859676,5906031.0,5906031002,116.88
7039,134.92321762005926,-55.083,32.428,53.05,1.4710061929801532,34.16987765986108,326.9814,27.218359481378,-16.134871879668772,-0.5902512009171614,337.63760481106107,-0.6829545334549144,0.7304608854917423,28.758652,5906031.0,5906031002,108.2
7040,134.92321762005926,-55.083,32.428,62.01,1.4705859712776297,34.16994934547965,326.97574,27.218446408943237,-16.81838024472172,-0.5902343892916878,337.6411960953687,-0.6829545334549144,0.7304608854917423,28.803547,5906031.0,5906031002,99.24
7041,134.92321762005926,-55.083,32.428,70.44,1.4711890164865788,34.17001679080573,326.9159,27.21845758013501,-17.980044774863405,-0.5901392866438157,337.6360331646654,-0.6829545334549144,0.7304608854917423,28.773825,5906031.0,5906031002,90.81
7042,134.92321762005926,-55.083,32.428,77.93,1.4717052156285424,34.170088200461336,326.8538,27.2184780534094,-16.386505829197038,-0.5900483012246197,337.63161312939656,-0.6829545334549144,0.7304608854917423,28.6889,5906031.0,5906031002,83.32
7043,134.92321762005926,-55.083,32.428,85.490005,1.471477330450879,34.17019367303078,326.8315,27.218578342842875,-15.802358599639184,-0.5899925666924658,337.6335569962968,-0.6829545334549144,0.7304608854917423,28.702095,5906031.0,5906031002,75.759995
7044,134.92321762005926,-55.083,32.428,93.5,1.4710970276061237,34.17030542357604,326.67255,27.218694422559334,-16.15940696921881,-0.5899445414552152,337.6368045172419,-0.6829545334549144,0.7304608854917423,28.63042,5906031.0,5906031002,67.75
7045,134.92321762005926,-55.083,32.428,101.420006,1.4717193257410632,34.1704164280563,326.57535,27.218738988260156,-16.21063986531189,-0.5898174118334018,337.6314746315725,-0.6829545334549144,0.7304608854917423,28.782167,5906031.0,5906031002,59.829994
7046,134.92321762005926,-55.083,32.428,111.850006,1.4712208991752194,34.170574591028966,326.4042,27.2189004629588,-15.99482595994176,-0.5897462794549242,337.6357301786505,-0.6829545334549144,0.7304608854917423,28.79969,5906031.0,5906031002,49.39999400000001
7047,134.92321762005926,-55.083,32.428,121.75,1.4717454183262375,34.17072471686005,326.02954,27.218983163837265,-14.97553626742256,-0.589599528375131,337.63123470321057,-0.6829545334549144,0.7304608854917423,28.797812,5906031.0,5906031002,39.5
